id,batch_id,hub_id,status,temperature_c,humidity_pct,created_at
1,B-1840,1,active,2.8,45.0,2026-06-01T00:00:00
2,B-1841,1,active,3.1,47.2,2026-06-01T00:00:00
3,B-1842,1,active,2.5,44.1,2026-06-01T00:00:00
4,B-1843,1,excursion,8.5,52.0,2026-06-01T00:00:00
5,B-1844,1,active,2.9,46.0,2026-06-01T00:00:00
6,B-1845,1,active,2.7,44.8,2026-06-01T00:00:00
7,B-1846,1,quarantine,8.2,51.5,2026-06-01T00:00:00
8,B-1847,1,active,8.1,55.0,2026-06-01T00:00:00
9,B-1848,4,active,2.6,43.0,2026-06-02T00:00:00
10,B-1849,6,active,2.4,41.0,2026-06-03T00:00:00
11,B-1850,2,active,3.0,46.5,2026-06-01T00:00:00
12,B-1851,3,active,2.8,44.0,2026-06-02T00:00:00
